SITE,STATUS,BAND NUM,COLOR,AGE,HOW AGE,SEX,WG,TL,TAR,NAR,WID,DEP,WT
WHEATON,N,2331-41128,BUX/OBU,AHY,1,F,91,95,27.3,,4.2,4.7,35.1
SILVER SPRING,N,2331-41129,PX/YP,AHY,1,F,86,98,26.8,,4.3,4.8,35.6
SILVER SPRING,N,2331-41133,RX/OBU,AHY,1,F,86,92,27.2,,4.5,5,36.9
WHEATON,N,2331-41134,PX/OY,SY,LT,F,87,92,28.8,,4.4,4.8,31.1
WHEATON,N,2331-41135,WX/OBU,AHY,1,M,85,89,26.4,,4.6,4.8,31.8
SLIGO CREEK,N,2331-41138,RX/YBU,AHY,1,M,87,92,27.9,,4.8,5.4,34
SLIGO CREEK,N,2331-41138,RX/YBU,AHY,,M,87,92,27,10.3,5,5,
SLIGO CREEK,N,2331-41142,BUX/OW,AHY,1,M,90,97,26.1,,4.2,4.8,34.9
SLIGO CREEK,N,2331-41143,GX/YP,AHY,1,F,89,97,27.7,,5,4.9,35.7
WHEATON,N,2331-41153,BUX/YP,AHY,1,F,86,95,27.6,,4.1,4.7,32.5
WHEATON,N,2331-41154,PKX/OR,AHY,1,M,91,99,27.4,,4.3,4.3,33.6
WHEATON,N,2331-41157,WX/OG,AHY,1,M,92,101,27.9,,4.4,4.6,33.3
WHEATON,R,2331-41157,WX/OG,AHY,,M,,,,,,,31.7
SLIGO CREEK,N,2331-41158,GX/OW,AHY,1,F,92,102,27.2,,4.8,5.1,
SLIGO CREEK,R,2331-41158,GX/OW,AHY,,F,90,97,27.4,12.2,4.9,5,48.5
SLIGO CREEK,N,2331-41162,PKX/YBU,AHY,1,F,90,95,25.9,,4.5,5,36.9
SLIGO CREEK,R,2331-41162,PKX/YBU,AHY,,F,,,,,,,
SLIGO CREEK,N,2331-41163,PKX/OP,AHY,1,F,89,95,25.7,,4.3,4.8,35.1
SILVER SPRING,N,2331-41169,WX/BUR,SY,LT,F,85,91,26.3,,4.4,4.7,38
TAKOMA PARK,N,2331-41171,OX/YO,SY,LT,M,85,90,26.1,,4,4.7,36.4
SLIGO CREEK,N,2331-41177,GX/BUW,AHY,1,M,89,96,27.3,,5,5.1,
SLIGO CREEK,N,2331-41178,RX/YG,AHY,1,F,86,93,28.4,,4.9,4.7,34.2
SLIGO CREEK,N,2331-41180,BUX/BUO,AHY,1,M,88,96,27,,5,4.8,35.6
SLIGO CREEK,N,2331-41181,GX/BUR,SY,LT,F,85,91,27.4,,4.5,4.7,32.4
SILVER SPRING,N,2331-41182,PX/BUY,AHY,1,M,86,91,27.7,,4.3,4.8,33.5
SILVER SPRING,N,2331-41182,PX/BUY,AHY,,M,,,,,,,
SILVER SPRING,N,2331-41183,RX/BUPK,SY,LT,F,82,90,27.4,,4.4,4.5,33.8
SILVER SPRING,N,2331-41184,OX/YG,SY,LT,F,82,89,27.2,,4.2,5,31.5
TAKOMA PARK,N,2331-41187,OX/BUR,AHY,1,M,90,95,28,,4.4,5.3,41.2
TAKOMA PARK,N,2331-41188,PX/YR,SY,LT,F,82,86,27.1,,4.8,5,41.7
TAKOMA PARK,N,2331-41189,WX/BUO,AHY,1,M,92,97,26.5,,4.4,4.8,36.1
TAKOMA PARK,R,2331-41189,WX/BUO,AHY,,M,,,,,,,37.7
TAKOMA PARK,N,2331-41193,PKX/BUY,AHY,1,F,89,97,25.5,,4,4.8,32.2
TAKOMA PARK,N,2331-41194,PX/BUPK,AHY,1,F,91,95,27,,4.5,4.9,38.3
SLIGO CREEK,N,2331-41197,YX/BUPK,AHY,1,F,88,96,27.9,,5,4.5,35.8
WHEATON,R,2331-41222,GG/GX,AHY,1,F,87,93,26.9,,4.9,4.8,32.4
TAKOMA PARK,N,2331-41343,YBU/XPK,AHY,,M,90,96,27.5,10.6,4.1,5.2,
SLIGO CREEK,N,2331-41478,/X,SY,,M,85,90,28.3,11.5,5,5.1,37.5
TAKOMA PARK,N,2331-41701,YX/OY,SY,LT,F,85,84,28.8,,4.2,4.5,37.2
TAKOMA PARK,N,2331-41702,BKX/BKBK,AHY,1,M,88,91,28.4,,4.1,4.8,38
TAKOMA PARK,N,2331-41703,GX/OP,SY,1,M,86,93,26.4,,4,4.9,31.8
TAKOMA PARK,N,2331-41704,YX/YW,AHY,1,F,89,91,28.1,,4.5,5.1,38.3
TAKOMA PARK,N,2331-41705,PKX/OG,AHY,1,F,90,94,28.7,,4.3,5,37.6
TAKOMA PARK,N,2331-41706,WX/OP,AHY,1,M,92,102,27.4,,4.8,5,39
TAKOMA PARK,N,2331-41707,GX/YW,AHY,1,M,89,93,27.3,,4.3,5.3,40.7
TAKOMA PARK,N,2331-41708,PKX/YP,SY,LT,F,86,88,27.7,,4.5,4.9,35.6
TAKOMA PARK,N,2331-41709,RX/RG,SY,LT,M,85,91,26.6,,4.2,5,34.1
SLIGO CREEK,N,2331-41710,RX/BUY,AHY,1,M,86,92,28.1,,4.3,4.8,32.9
SLIGO CREEK,N,2331-41711,OX/YR,AHY,1,F,90,92,27.2,,4.5,5.3,35.7
