"","tFirst","tSecond","type"
"213",2011-09-24 23:11:12,2011-09-25 11:15:00,2
"214",2011-09-25 11:15:00,2011-09-25 23:14:00,1
"215",2011-09-25 23:14:00,2011-09-26 11:03:00,2
"216",2011-09-26 11:03:00,2011-09-26 23:14:00,1
"217",2011-09-26 23:14:00,2011-09-27 11:11:00,2
"218",2011-09-27 11:11:00,2011-09-27 23:15:12,1
"219",2011-09-27 23:15:12,2011-09-28 11:05:00,2
"220",2011-09-28 11:05:00,2011-09-28 23:11:00,1
"221",2011-09-28 23:11:00,2011-09-29 11:09:12,2
"222",2011-09-29 11:09:12,2011-09-29 23:13:12,1
"223",2011-09-29 23:13:12,2011-09-30 10:59:12,2
"224",2011-09-30 10:59:12,2011-09-30 23:10:00,1
"225",2011-09-30 23:10:00,2011-10-01 11:07:12,2
"226",2011-10-01 11:07:12,2011-10-01 22:59:12,1
"227",2011-10-01 22:59:12,2011-10-02 10:47:00,2
"228",2011-10-02 10:47:00,2011-10-02 23:26:00,1
"229",2011-10-02 23:26:00,2011-10-03 11:07:12,2
"230",2011-10-03 11:07:12,2011-10-03 23:03:12,1
"231",2011-10-03 23:03:12,2011-10-04 11:15:12,2
"232",2011-10-04 11:15:12,2011-10-04 22:11:00,1
"233",2011-10-04 22:11:00,2011-10-05 11:15:00,2
"234",2011-10-05 11:15:00,2011-10-05 23:07:12,1
"235",2011-10-05 23:07:12,2011-10-06 11:15:00,2
"236",2011-10-06 11:15:00,2011-10-06 23:10:00,1
"237",2011-10-06 23:10:00,2011-10-07 11:10:00,2
"238",2011-10-07 11:10:00,2011-10-07 23:07:00,1
"239",2011-10-07 23:07:00,2011-10-08 11:19:12,2
"240",2011-10-08 11:19:12,2011-10-08 23:07:12,1
"241",2011-10-08 23:07:12,2011-10-09 11:19:12,2
"242",2011-10-09 11:19:12,2011-10-09 23:10:00,1
"243",2011-10-09 23:10:00,2011-10-10 11:23:12,2
"244",2011-10-10 11:23:12,2011-10-10 23:10:00,1
"245",2011-10-10 23:10:00,2011-10-11 11:13:00,2
"246",2011-10-11 11:13:00,2011-10-11 23:07:00,1
"247",2011-10-11 23:07:00,2011-10-12 11:09:00,2
"248",2011-10-12 11:09:00,2011-10-12 23:00:00,1
"249",2011-10-12 23:00:00,2011-10-13 11:14:00,2
"250",2011-10-13 11:14:00,2011-10-13 22:41:12,1
"251",2011-10-13 22:41:12,2011-10-14 11:01:00,2
"252",2011-10-14 11:01:00,2011-10-14 22:57:00,1
"253",2011-10-14 22:57:00,2011-10-15 10:55:00,2
"254",2011-10-15 10:55:00,2011-10-15 22:49:00,1
"255",2011-10-15 22:49:00,2011-10-16 10:55:00,2
"256",2011-10-16 10:55:00,2011-10-16 22:51:12,1
"257",2011-10-16 22:51:12,2011-10-17 11:00:00,2
"258",2011-10-17 11:00:00,2011-10-17 22:47:12,1
"259",2011-10-17 22:47:12,2011-10-18 10:56:00,2
"260",2011-10-18 10:56:00,2011-10-18 22:43:00,1
"261",2011-10-18 22:43:00,2011-10-19 10:58:00,2
"262",2011-10-19 10:58:00,2011-10-19 22:44:00,1
"263",2011-10-19 22:44:00,2011-10-20 11:05:12,2
"264",2011-10-20 11:05:12,2011-10-20 22:41:12,1
"265",2011-10-20 22:41:12,2011-10-21 11:03:00,2
