band_num,band_age,Color Band,d_banded,tail,tars,mass,wing,sex,fm_site,species
259082319,AHY,"a,g/r",7/3/09,,17.315,11.35,49.75,M,Sturtevant,HOWR
244114133,AHY,"o/w,a",6/28/09,,20.56,20.15,66,M,Ward,SOSP
259082308,AHY,"p/a,g",6/23/09,,15.665,10.35,62.5,M,Vongsathorn,CACH
259082213,AHY,"pk/pu,a",6/11/09,,15.22,8.95,60,F,Odell,CACH
241137262,AHY,"w,a/pk",6/6/09,,24.28,40.85,92.25,M,Hamill,NOCA
244114006,AHY,"pk,a/o",5/18/09,,19.34,18.45,67.5,M,Boone,SOSP
230156637,AHY,"a,bu/pk",7/8/08,,28.085,35.3,91.75,F,Stewart,GRCA
234129316,AHY,"bu/a,y",6/29/08,,20.715,20.05,65,M,McDonough,SOSP
249086325,HY,"y/bu, a",7/1/08,,15.42,9.4,60,U,"Woodward, Paul",CACH
234130315,AHY,"a,y/pk",6/26/08,,22.11,20.55,64,M,Wilde,SOSP
244115034,AHY,"o/a,g",7/7/09,,22.6,20,59,F,RCP - SMBC,CARW
230156809,ASY,"a, w/pk",6/9/08,,29.01,,92,M,Salaj,GRCA
240000690,U,"g/a,w",5/31/07,,,,,F,Sturtevant,CACH
195141073,AHY,"a,w/w",5/31/07,,27.9,35.8,89,M,Sturtevant,GRCA
199146150,AHY,"y,a/bu",7/6/07,,25.29,50.1,91,F,Raun,NOCA
225180310,AHY,"pk/bk,a",7/5/08,,21.595,20.95,64.5,M,Ward,SOSP
228169466,AHY,"r/a,p",6/9/08,,21.725,22.8,60,M,"Campbell, G.",CARW
230108219,AHY,"a, y/y",7/1/08,,24.65,44.5,95,F,"Woodward, Paul",NOCA
251003833,HY,"bk/bk,a",7/13/08,,16.53,10.6,61,U,Buising,CACH
234130134,AHY,"y/a,y",7/3/08,,22.55,23.4,62,F,Knight,CARW
230156867,AHY,"a/bu,p",7/3/08,,24.89,41.2,91,F,Knight,NOCA
230156567,AHY,"p/pk,a",6/18/08,,23.96,35.2,85,M,Gecan,GRCA
230155943,AHY,"PK/A,DB",6/14/08,,28.15,34,89,M,Tate,GRCA
120299041,HY,"O, BK/A",6/14/08,,30.96,73.3,121.5,U,Tate,AMRO
254062817,AHY,"a,bu/o",6/11/08,,15.5,10.6,60,M,Versak,CACH
230156924,AHY,"o,a/g",7/10/07,,24.5,41,98,M,RCP - Amazonia,NOCA
199121136,AHY,"a,w/y",6/30/07,,24,43.6,90,F,Buising,NOCA
254062858,HY,"a,bk/r",7/30/08,,19.14,10.4,63,M,Odell,CACH
230156089,AHY,"bk/p,a",7/19/08,,25.63,43.75,91.5,M,Lindell,NOCA
224117609,AHY,"A,G/bu",5/18/05,,22.435,21.6,58.25,M,Perna,CARW
244114217,AHY,"p/a,o",7/20/09,,21.71,21.3,67,M,RCP _ Edzoocation,SOSP
259082582,HY,"o/a,bk",7/13/09,,16.1,10.4,63,U,Barbour,CACH
241137164,AHY,"a/w,pk",7/13/09,,25.57,44.9,89,F,Knight,NOCA
241137423,AHY,"bu,a/r",7/9/09,,24.95,44.5,96,M,Salaj,NOCA
241137422,AHY,"a,r/p",7/9/09,,25.08,38.7,93.5,F,Salaj,NOCA
244114046,AHY,"w,a/r",7/8/09,,22.02,21.7,60,M,Gellner,CARW
241137769,AHY,"a/pk,w",7/6/09,,28.97,42,85,F,Frey,GRCA
241137767,AHY,"pk/a,r",7/6/09,,28.2,36,94,M,Frey,GRCA
241137389,AHY,"g,bu/a",7/3/09,,27.93,35.5,92,M,Ward,GRCA
244115029,U,"a/y,p",6/29/09,,22.62,18,58,U,Tate,CARW
241137759,AHY,"bu/a,pk",6/29/09,,30.05,36,90,M,Tate,GRCA
241137377,AHY,"bk/a,o",6/28/09,,22.81,43.5,92,F,Ward,NOCA
241137364,AHY,"a,-",6/24/09,,27.74,32.8,89,M,Conaway,GRCA
244114124,AHY,"r/a,r",6/20/09,,21.74,22.4,61,F,Land,CARW
129264323,AHY,"a/y,bu",6/20/09,,31.6,73.8,130,M,Land,AMRO
241137128,AHY,"p/a,r",6/19/09,,25.77,41.2,94,M,Hitchcock,NOCA
259082208,AHY,"pk/a,bU",6/7/09,,15.27,10.5,63,M,Buising,CACH
259082207,AHY,"pk,a/g",6/7/09,,15.76,10.6,60,M,Buising,CACH
241137108,AHY,"bU/bk,a",6/6/09,,23.78,42.8,90.5,F,Sanford,NOCA
259082542,AHY,"W,A/O",6/2/09,,15.57,10.1,58,M,Keyes,CACH
241137260,AHY,"pk,a/w",6/2/09,,24.39,41.6,95,M,Keyes,NOCA
241137256,AHY,"r,G/A",6/2/09,,24.12,43.7,93,M,Keyes,NOCA
NB,U,"PK,-",5/30/09,,17.1,10.3,51,U,Gecan,HOWR
244113701,AHY,"w,a/r",5/29/09,,20.74,21.6,61.5,F,Colston,SOSP
259082531,AHY,"y,r/a",5/27/09,,16.56,10.4,64,M,Brennan,CACH
244114013,AHY,"r/o,a",5/27/09,,21.27,21.1,60,M,Brennan,CARW
241137234,AHY,"a,bk/g",5/27/09,,24.79,39,94,M,Brennan,NOCA
259082525,AHY,"a/o,w",5/22/09,,15.25,9.5,60,M,Newberry,CACH
259082524,AHY,"y/r,a",5/22/09,,15.43,10.2,60.5,M,Newberry,CACH
