"","tFirst","tSecond","type"
"375",2012-01-31 23:50:00,2012-02-01 11:52:00,2
"376",2012-02-01 11:52:00,2012-02-01 23:53:00,1
"377",2012-02-01 23:53:00,2012-02-02 12:08:00,2
"378",2012-02-02 12:08:00,2012-02-02 23:50:00,1
"379",2012-02-02 23:50:00,2012-02-03 11:41:00,2
"380",2012-02-03 11:41:00,2012-02-03 23:43:00,1
"381",2012-02-03 23:43:00,2012-02-04 11:46:00,2
"382",2012-02-04 11:46:00,2012-02-04 23:48:00,1
"383",2012-02-04 23:48:00,2012-02-05 11:45:00,2
"384",2012-02-05 11:45:00,2012-02-05 23:55:00,1
"385",2012-02-05 23:55:00,2012-02-06 11:46:00,2
"386",2012-02-06 11:46:00,2012-02-06 23:50:00,1
"387",2012-02-06 23:50:00,2012-02-07 11:46:00,2
"388",2012-02-07 11:46:00,2012-02-07 23:57:00,1
"389",2012-02-07 23:57:00,2012-02-08 11:52:00,2
"390",2012-02-08 11:52:00,2012-02-08 23:51:00,1
"391",2012-02-08 23:51:00,2012-02-09 11:48:00,2
"392",2012-02-09 11:48:00,2012-02-09 23:51:00,1
"393",2012-02-09 23:51:00,2012-02-10 11:46:00,2
"394",2012-02-10 11:46:00,2012-02-10 23:57:00,1
"395",2012-02-10 23:57:00,2012-02-11 12:03:00,2
"396",2012-02-11 12:03:00,2012-02-11 23:56:00,1
"397",2012-02-11 23:56:00,2012-02-12 11:45:00,2
"398",2012-02-12 11:45:00,2012-02-12 23:51:00,1
"399",2012-02-12 23:51:00,2012-02-13 11:44:00,2
"400",2012-02-13 11:44:00,2012-02-13 23:53:00,1
"401",2012-02-13 23:53:00,2012-02-14 11:46:00,2
"402",2012-02-14 11:46:00,2012-02-14 23:58:00,1
"403",2012-02-14 23:58:00,2012-02-15 11:42:00,2
"404",2012-02-15 11:42:00,2012-02-15 23:57:00,1
"405",2012-02-15 23:57:00,2012-02-16 11:42:00,2
"406",2012-02-16 11:42:00,2012-02-16 23:58:00,1
"407",2012-02-16 23:58:00,2012-02-17 11:40:00,2
"408",2012-02-17 11:40:00,2012-02-18 11:40:00,1
"409",2012-02-18 11:40:00,2012-02-18 23:56:00,1
"410",2012-02-18 23:56:00,2012-02-19 11:41:00,2
"411",2012-02-19 11:41:00,2012-02-20 11:55:00,1
"412",2012-02-20 11:55:00,2012-02-20 23:57:00,1
"413",2012-02-20 23:57:00,2012-02-21 11:38:00,2
"414",2012-02-21 11:38:00,2012-02-21 23:58:00,1
"415",2012-02-21 23:58:00,2012-02-22 11:39:00,2
"416",2012-02-22 11:39:00,2012-02-22 23:58:00,1
"417",2012-02-22 23:58:00,2012-02-23 11:35:00,2
"418",2012-02-23 11:35:00,2012-02-24 11:28:00,1
"419",2012-02-24 11:28:00,2012-02-25 11:38:00,1
"420",2012-02-25 11:38:00,2012-02-26 11:33:00,1
"421",2012-02-26 11:33:00,2012-02-27 11:34:00,1
"422",2012-02-27 11:34:00,2012-02-28 11:49:00,1
"423",2012-02-28 11:49:00,2012-02-28 23:58:00,1
"424",2012-02-28 23:58:00,2012-02-29 11:43:00,2
"425",2012-02-29 11:43:00,2012-03-01 11:32:00,1
"426",2012-03-01 11:32:00,2012-03-02 11:32:00,1
"427",2012-03-02 11:32:00,2012-03-02 23:58:00,1
"428",2012-03-02 23:58:00,2012-03-03 11:31:00,2
"429",2012-03-03 11:31:00,2012-03-03 23:55:00,1
"430",2012-03-03 23:55:00,2012-03-04 11:31:00,2
"431",2012-03-04 11:31:00,2012-03-04 23:54:00,1
"432",2012-03-04 23:54:00,2012-03-05 11:31:00,2
"433",2012-03-05 11:31:00,2012-03-06 11:28:00,1
"434",2012-03-06 11:28:00,2012-03-07 11:24:00,1
"435",2012-03-07 11:24:00,2012-03-08 11:29:00,1
"436",2012-03-08 11:29:00,2012-03-08 23:58:00,1
"437",2012-03-08 23:58:00,2012-03-09 11:39:00,2
"438",2012-03-09 11:39:00,2012-03-10 11:32:00,1
"439",2012-03-10 11:32:00,2012-03-11 11:32:00,1
"440",2012-03-11 11:32:00,2012-03-12 11:32:00,1
"441",2012-03-12 11:32:00,2012-03-13 11:27:00,1
"442",2012-03-13 11:27:00,2012-03-13 23:58:00,1
"443",2012-03-13 23:58:00,2012-03-14 11:31:00,2
"444",2012-03-14 11:31:00,2012-03-15 00:11:00,1
"445",2012-03-15 00:11:00,2012-03-15 11:23:00,2
"446",2012-03-15 11:23:00,2012-03-16 00:07:00,1
"447",2012-03-16 00:07:00,2012-03-16 11:36:00,2
